3.270,2.936,3.605,0.669,2.672,0.024,2.157,0.042
3.010,2.815,3.205,0.390,2.642,0.032,1.886,0.073
2.759,2.480,3.038,0.558,2.656,0.026,2.117,0.048
2.729,2.452,3.006,0.554,2.628,0.028,1.997,0.055
2.577,2.336,2.819,0.484,2.602,0.030,1.918,0.064
2.457,2.209,2.705,0.496,2.651,0.029,1.948,0.066
2.395,2.138,2.651,0.513,2.483,0.035,1.846,0.073
2.340,2.091,2.217,0.354,2.665,0.033,1.812,0.082
2.300,2.048,2.553,0.505,2.506,0.033,1.658,0.082
2.139,1.902,2.377,0.475,2.571,0.031,1.602,0.090
2.126,1.886,2.365,0.479,2.575,0.031,1.524,0.097
2.127,1.905,2.348,0.443,2.518,0.035,1.716,0.072
2.124,1.891,2.358,0.467,2.588,0.031,1.793,0.074
1.978,1.756,2.197,0.445,2.533,0.034,1.582,0.094
1.972,1.765,2.179,0.415,2.519,0.036,1.613,0.094
1.947,1.719,2.175,0.456,2.514,0.034,1.773,0.076
1.921,1.700,2.141,0.442,2.434,0.038,1.735,0.081
1.989,1.882,2.097,0.216,2.493,0.050,1.512,0.149
